id	path	name	movements	link	imslp	composer_id
5108849	Nielsen,_Carl/String_Quartet_No.1,_Op.13	String Quartet No.1, Op.13	4	https://musescore.com/openscore-string-quartets/sets/5108849	#173684	205139
14704487	Onslow,_George/String_Quartet_No.28_in_E-flat_major,_Op.54	String Quartet No.28 in E-flat major, Op.54	4	https://musescore.com/openscore-string-quartets/sets/14704487	#327286	380935
5108574	Ravel,_Maurice/String_Quartet_in_F_major	String Quartet in F major	4	https://musescore.com/openscore-string-quartets/sets/5108574	#335585	1178
5108850	Reger,_Max/String_Quartet_No.1,_Op.54_No.1	String Quartet No.1, Op.54 No.1	4	https://musescore.com/openscore-string-quartets/sets/5108850	#53714	57139
5684022	Reger,_Max/String_Quartet_No.2,_Op.54_No.2	String Quartet No.2, Op.54 No.2	3	https://musescore.com/openscore-string-quartets/sets/5684022	#53715	57139
5684058	Reger,_Max/String_Quartet_No.3,_Op.74	String Quartet No.3, Op.74	4	https://musescore.com/openscore-string-quartets/sets/5684058	#53739	57139
5108851	Reger,_Max/String_Quartet_No.4,_Op.109	String Quartet No.4, Op.109	4	https://musescore.com/openscore-string-quartets/sets/5108851	#54043	57139
5684082	Reger,_Max/String_Quartet_No.5,_Op.121	String Quartet No.5, Op.121	4	https://musescore.com/openscore-string-quartets/sets/5684082	#233166	57139
5108602	Saint-Georges,_Joseph_Bologne/String_Quartet_in_C_major,_Op.1_No.1	String Quartet in C major, Op.1 No.1	2	https://musescore.com/openscore-string-quartets/sets/5108602	#80710	726953
5108605	Saint-Georges,_Joseph_Bologne/String_Quartet_in_C_minor,_Op.1_No.4	String Quartet in C minor, Op.1 No.4	2	https://musescore.com/openscore-string-quartets/sets/5108605	#80710	726953
5108607	Saint-Georges,_Joseph_Bologne/String_Quartet_in_D_major,_Op.1_No.6	String Quartet in D major, Op.1 No.6	2	https://musescore.com/openscore-string-quartets/sets/5108607	#80710	726953
5108603	Saint-Georges,_Joseph_Bologne/String_Quartet_in_E-flat_major,_Op.1_No.2	String Quartet in E-flat major, Op.1 No.2	2	https://musescore.com/openscore-string-quartets/sets/5108603	#80710	726953
5108604	Saint-Georges,_Joseph_Bologne/String_Quartet_in_G_minor,_Op.1_No.3	String Quartet in G minor, Op.1 No.3	2	https://musescore.com/openscore-string-quartets/sets/5108604	#80710	726953
5108606	Saint-Georges,_Joseph_Bologne/String_Quartet_in_G_minor,_Op.1_No.5	String Quartet in G minor, Op.1 No.5	2	https://musescore.com/openscore-string-quartets/sets/5108606	#80710	726953
13145872	Schubert,_Franz/String_Quartet_in_A_minor,_D.804,_No.13	String Quartet in A minor, D.804, No.13	4	https://musescore.com/openscore-string-quartets/sets/13145872	#04040	7312
